game_date,season_id,team,gf,ga,wl,ortg,is_home,win,pt_diff
2026-03-10,22025,Atlanta Hawks,124.0,112.0,W,115.97456041900487,1,1.0,12.0
2026-03-12,22025,Atlanta Hawks,108.0,97.0,W,99.6309963099631,1,1.0,11.0
2026-03-14,22025,Atlanta Hawks,122.0,99.0,W,114.10400299289188,1,1.0,23.0
2026-03-16,22025,Atlanta Hawks,124.0,112.0,W,112.9737609329446,1,1.0,12.0
2026-03-18,22025,Atlanta Hawks,135.0,120.0,W,120.36376604850214,0,1.0,15.0
2026-03-20,22025,Atlanta Hawks,95.0,117.0,L,98.46600331674958,0,0.0,-22.0
2026-03-21,22025,Atlanta Hawks,126.0,110.0,W,123.7721021611002,1,1.0,16.0
2026-03-23,22025,Atlanta Hawks,146.0,107.0,W,136.4485981308411,1,1.0,39.0
2026-03-25,22025,Atlanta Hawks,130.0,129.0,W,111.60714285714286,0,1.0,1.0
2026-03-27,22025,Atlanta Hawks,102.0,109.0,L,100.43324143363527,0,0.0,-7.0
2026-03-28,22025,Atlanta Hawks,123.0,113.0,W,119.78963770938837,1,1.0,10.0
2026-03-30,22025,Atlanta Hawks,112.0,102.0,W,109.1617933723197,1,1.0,10.0
2026-04-10,22025,Atlanta Hawks,124.0,102.0,W,114.81481481481481,1,1.0,22.0
2026-04-12,22025,Atlanta Hawks,117.0,143.0,L,111.51353412123524,0,0.0,-26.0
2026-04-18,22025,Atlanta Hawks,102.0,113.0,L,102.65700483091787,0,0.0,-11.0
2026-04-20,22025,Atlanta Hawks,107.0,106.0,W,112.48948696383513,0,1.0,1.0
2026-04-23,22025,Atlanta Hawks,109.0,108.0,W,107.45268138801262,1,1.0,1.0
2026-04-25,22025,Atlanta Hawks,98.0,114.0,L,100.0,1,0.0,-16.0
2026-04-28,22025,Atlanta Hawks,97.0,126.0,L,102.66723116003386,0,0.0,-29.0
2026-04-30,22025,Atlanta Hawks,89.0,140.0,L,92.5925925925926,1,0.0,-51.0
2025-03-08,22024,BRK,102.0,105.0,L,111.35371179039302,0,0.0,-3.0
2025-03-10,22024,BRK,111.0,108.0,W,117.83439490445859,1,1.0,3.0
2025-03-11,22024,BRK,104.0,109.0,L,110.45029736618521,0,0.0,-5.0
2025-03-13,22024,BRK,110.0,116.0,L,112.33660130718954,0,0.0,-6.0
2025-03-15,22024,BRK,113.0,115.0,L,130.30442804428043,1,0.0,-2.0
2025-03-16,22024,BRK,122.0,114.0,W,118.3087664856478,1,1.0,8.0
2025-03-18,22024,BRK,96.0,104.0,L,100.54461667364893,0,0.0,-8.0
2025-03-20,22024,BRK,99.0,105.0,L,89.25351604760188,0,0.0,-6.0
2025-03-22,22024,BRK,103.0,108.0,L,102.50796178343948,0,0.0,-5.0
2025-03-24,22024,BRK,101.0,120.0,L,108.41562902533278,1,0.0,-19.0
2025-03-26,22024,BRK,86.0,116.0,L,82.40705251054044,1,0.0,-30.0
