gmDate,season,team,opp,gf,ga,rslt,ortg,drtg,dayoff,s_wins,s_losses,is_home,win,pt_diff
2025-07-29,2025,ATL,GSV,75,77,Win,105.27793374508703,109.18888258650028,2.0,15.0,10.0,1,0.0,-2
2025-07-30,2025,ATL,DAL,88,85,Win,117.77301927194861,114.06333870101986,1.0,15.0,11.0,0,1.0,3
2025-08-01,2025,ATL,PHO,95,72,Loss,126.80192205018686,92.92720702116675,2.0,16.0,11.0,1,1.0,23
2025-08-03,2025,ATL,WAS,99,83,Loss,116.3063909774436,94.53302961275627,2.0,17.0,11.0,1,1.0,16
2025-08-07,2025,ATL,CHI,86,65,Win,108.86075949367088,80.72528564331843,4.0,18.0,11.0,0,1.0,21
2025-08-10,2025,ATL,PHO,74,66,Win,99.51586874663798,84.44216990788127,3.0,19.0,11.0,0,1.0,8
2025-08-13,2025,ATL,SEA,85,75,Win,113.94101876675605,94.07927747114903,3.0,20.0,11.0,0,1.0,10
2025-08-15,2025,ATL,SEA,78,80,Win,105.40540540540539,105.65240359218173,2.0,21.0,11.0,1,0.0,-2
2025-08-17,2025,ATL,GSV,79,63,Win,105.27718550106609,89.94860079954312,2.0,21.0,12.0,0,1.0,16
2025-08-19,2025,ATL,LVA,72,74,Loss,99.77827050997783,101.5925315760571,2.0,22.0,12.0,0,0.0,-2
2025-08-21,2025,ATL,MIN,75,73,Loss,94.07927747114903,89.54857703631012,2.0,22.0,13.0,1,1.0,2
2025-08-23,2025,ATL,NYL,78,62,Loss,112.5866050808314,86.83473389355741,2.0,23.0,13.0,1,1.0,16
2025-08-27,2025,ATL,LVA,75,81,Win,97.75808133472367,109.69664138678223,4.0,24.0,13.0,1,0.0,-6
2025-08-29,2025,ATL,DAL,100,78,Loss,131.09596224436285,94.0212150433944,2.0,24.0,14.0,1,1.0,22
2025-09-01,2025,ATL,CON,93,76,Win,128.16979051819183,102.48112189859764,3.0,25.0,14.0,0,1.0,17
2025-09-03,2025,ATL,LAS,86,75,Loss,106.80576254346748,93.98496240601504,2.0,26.0,14.0,1,1.0,11
2025-09-05,2025,ATL,LAS,104,85,Loss,132.85641287685232,113.33333333333333,2.0,27.0,14.0,1,1.0,19
2025-09-08,2025,ATL,CON,87,62,Loss,105.58252427184465,78.64028411973617,3.0,28.0,14.0,1,1.0,25
2025-09-10,2025,ATL,CON,88,72,Win,117.08355508249069,92.02453987730061,2.0,29.0,14.0,0,1.0,16
2025-09-14,2025,ATL,IND,80,68,Loss,99.70089730807578,86.33824276282375,4.0,30.0,14.0,1,1.0,12
2006-06-29,2006,CHA,CHI,69,75,Loss,98.57142857142858,105.63380281690141,2.0,3.0,11.0,0,0.0,-6
2006-07-01,2006,CHA,SAC,57,65,Win,74.88176563321072,94.31224608241439,2.0,3.0,12.0,1,0.0,-8
2006-07-06,2006,CHA,CT,71,76,Loss,84.80649784997611,96.34888438133875,5.0,3.0,13.0,0,0.0,-5
2006-07-08,2006,CHA,LOS,64,66,Loss,79.1295746785361,83.79888268156424,2.0,3.0,14.0,0,0.0,-2
2006-07-09,2006,CHA,SAC,61,70,Loss,82.92550299075585,89.33129147524247,1.0,3.0,15.0,0,0.0,-9
2006-07-14,2006,CHA,SAS,81,65,Loss,104.97667185069986,81.45363408521304,5.0,3.0,16.0,1,1.0,16
2006-07-15,2006,CHA,IND,75,65,Loss,106.1120543293718,86.29845990440786,1.0,4.0,16.0,1,1.0,10
2006-07-19,2006,CHA,TUL,73,67,Win,97.9077253218884,86.87759336099585,4.0,5.0,16.0,0,1.0,6
2006-07-20,2006,CHA,SEA,86,72,Loss,115.71582346609259,99.2282249173098,1.0,6.0,16.0,1,1.0,14
2006-07-22,2006,CHA,PHO,74,78,Win,95.41000515729758,97.64646970455684,2.0,7.0,16.0,1,0.0,-4
2006-07-25,2006,CHA,MIN,62,70,Win,78.60040567951319,90.57971014492753,3.0,7.0,17.0,1,0.0,-8
2006-07-27,2006,CHA,MIN,81,68,Win,91.33964817320704,80.49242424242425,2.0,7.0,18.0,0,1.0,13
2006-07-29,2006,CHA,NYL,80,85,Win,99.50248756218905,107.92280345352971,2.0,8.0,18.0,1,0.0,-5
2006-07-30,2006,CHA,WAS,73,78,Loss,85.20074696545285,96.48688767936665,1.0,8.0,19.0,0,0.0,-5
2006-08-01,2006,CHA,SAS,68,65,Win,90.76348104644954,84.5033801352054,2.0,8.0,20.0,0,1.0,3
